"#","Reference","Qty","MPN","Description","Value","Package","Link","LCSC","DNP"
"1","B1,J6,J7","3","HDGC2001WV-2P ","1x2P 1 2P PH 2mm 2 2A Direct Insert Plugin,P=2mm Wire To Board Connector ROHS ","-- mixed values --","Plugin,P=2mm","https://www.lcsc.com/product-detail/Wire-To-Board-Connector_HDGC-HDGC2001WV-2P_C5175230.html","C5175230",""
"2","C3","1","TAJA476K006RNJ","47uF 6.3V 1.6Ω@100kHz ±10%","47uF","CASE-A-3216-18(mm)","https://www.lcsc.com/product-detail/Tantalum-Capacitors_Kyocera-AVX-TAJA476K006RNJ_C7190.html","C7190",""
"3","C1,C2","2","CC0603JRX7R9BB473","50V 47nF X7R ±5%","47nF","0603","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0603JRX7R9BB473_C519554.html","C519554",""
"4","C28,C29","2","CC0402FRNPO9BN150"," 50V 15pF NP0 ±1%","15pF","0402","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402FRNPO9BN150_C326803.html","C326803",""
"5","C4,C17,C19,C23","4","CL21A106KPFNNNE"," 10V 10uF X5R ±10%","10uF","0805","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A106KPFNNNE_C17024.html","C17024",""
"6","C5,C6,C7,C9,C10,C11,C12,C13,C15,C18,C20,C22,C24,C25,C32","15","CL03A104KQ3NNNC"," 6.3V 100nF X5R ±10%","100nF","0201","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL03A104KQ3NNNC_C160831.html","C160831",""
"7","C8,C14,C16,C21,C26,C27,C33,C34","8","GRM033R60J105KEA2D"," 6.3V 1uF X5R ±10%","1uF","0201","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM033R60J105KEA2D_C76929.html","C76929",""
"8","D1,D2,D9,D10","4","CUS08F30","SOD-323 Schottky Diodes ROHS ","CUS08F30","SOD-323 ","https://www.lcsc.com/product-detail/Schottky-Diodes_DOWO-CUS08F30_C27636112.html","C27636112",""
"9","D3,D6,D7,D14,D15,D16","6","B5819WT","40V Independent Type 1A 550mV SOD-523 Schottky Diodes ROHS ","M7C","SOD-523 ","https://www.lcsc.com/product-detail/Schottky-Diodes_LGE-B5819WT_C5364321.html","C5364321",""
"10","D4,D5,D8,D11,D12,D13","6","BAS16VY,115"," 3 Independent 200mA 1.25V@150mA 100V SOT-363 Diodes - General Purpose ROHS ","BAS16VY,115","SOT-363 ","https://www.lcsc.com/product-detail/Diodes-General-Purpose_Nexperia-BAS16VY-115_C135826.html","C135826",""
"11","J5","1","UJ31-CH-G1-SMT-TR","Type C, USB 3.2 Gen 2, 10 Gbps, 20 Vac, 5 A, Right Angle, Surface Mount, Black Insulator, USB Receptacle","UJ31-CH-G1-SMT-TR","-","https://www.lcsc.com/product-detail/USB-Connectors_CUI-UJ31-CH-G1-SMT-TR_C22359729.html","C22359729",""
"12","J1,J10","2","SM02B-SURS-TF(LF)(SN)","Connector Header Surface Mount, Right Angle 2 position 0.031 (0.80mm)","SM02B-SURS-TF_LF__SN_","SMD,P=0.8mm,Surface Mount，Right Angle","https://www.lcsc.com/product-detail/Wire-To-Board-Connector_JST-SM02B-SURS-TF-LF-SN_C566239.html","C566239",""
"13","J2,J13","2","5034800640"," Flip type -40℃~+85℃ 6P Dual-sided contacts / top and bottom connection Horizontal attachment 0.5mm SMD,P=0.5mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","503480-0640","SMD,P=0.5mm,Surface Mount，Right Angle ","https://www.lcsc.com/product-detail/FFC-FPC-Flat-Flexible-Connector-Assemblies_MOLEX-5034800640_C3168077.html","C3168077",""
"14","L5","1","MIP25202R2MBE"," 1.3A 2.2uH ±20% 80mΩ 1008 Inductors (SMD) ROHS ","1.3A 2.2uH ±20% 80mΩ","1008","https://www.lcsc.com/product-detail/Inductors-SMD_INPAQ-MIP25202R2MBE_C315721.html","C315721",""
"15","L1,L2,L3,L4,L6,L10,L11,L12,L13","9","SK6805-EC-15","0606 RGB LEDs(Built-in IC) ROHS","SK6805-EC-15","0606","https://www.lcsc.com/product-detail/RGB-LEDs-Built-in-IC_OPSCO-Optoelectronics-SK6805-EC15_C2890035.html","C2890035",""
"16","Q1,Q2","2","MMBT3904"," 40V 200mW 100@100mA,1V 200mA NPN SOT-23 Bipolar (BJT) ROHS ","MMBT3904"," SOT-23","https://www.lcsc.com/product-detail/Bipolar-BJT_YONGYUTAI-MMBT3904_C2891808.html","C2891808",""
"17","Q3,Q4","2","BSS138DW-7-F"," 50V 200mA 200mW 3.5Ω@10V,220mA 1.5V@250uA 2 N-Channel SC-70-6(SOT-363) MOSFETs ROHS","BSS138DW","SC-70-6(SOT-363)","https://www.lcsc.com/product-detail/MOSFETs_Diodes-Incorporated-BSS138DW-7-F_C154900.html","C154900",""
"18","Q5,Q6","2","MMBT2222A","600mA Ic, 40V Vce, NPN Transistor, SOT-23","MMBT2222A"," SOT-23","https://www.lcsc.com/product-detail/Bipolar-BJT_JSMSEMI-MMBT2222A_C916372.html","C916372",""
"19","R11","1","RC0201FR-07330RL "," 50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 330Ω","330R","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-07330RL_C274872.html","C274872",""
"20","R1,R2,R8,R9,R10,R12,R23,R24,R25,R26,R27,R28","12","RC0201FR-071KL ","50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 1kΩ","1k","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-071KL_C138165.html","C138165",""
"21","R18,R19,R33,R34,R35,R41","6","RC0201FR-070RL ","50mW Thick Film Resistors 25V ±1% 0Ω","0R","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-070RL_C106227.html","C106227",""
"22","R21,R22","2","RC0201FR-075K1L "," 50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 5.1kΩ","5.1k","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-075K1L_C274341.html","C274341",""
"23","R3,R32,R40","3","RC0201FR-07100RL "," 50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 100Ω","100R","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-07100RL_C77623.html","C77623",""
"24","R4,R13,R14,R36,R37,R38","6","AF0201FR-0775KL ","0mW Thick Film Resistors 25V ±1% ±200ppm/℃ 75kΩ","75k","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-AF0201FR-0775KL_C2107901.html","C2107901",""
"25","R5,R15,R16,R17,R20,R29,R30,R31,R39","9","RC0201FR-0710KL "," 50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 10kΩ","10k","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-0710KL_C106225.html","C106225",""
"26","R6,R7","2","RC0201FR-0727RL "," 50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 27Ω","27R","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-0727RL_C273268.html","C273268",""
"27","RV1,RV2","2","RD7091008A","-","Slider_GCC-Gamecube_MB","-","-","-","DNP"
"28","S1,S2,S3,S4,S5,S6","6","4015-0-43-80-30-27-10-0","Generic connector, single row, 01x01, script generated","4015-0-43-80-30-27-10-0","-","https://www.lcsc.com/product-detail/Connector-Accessories_Mill-Max-Mfg-Corp-4015-0-43-80-30-27-10-0_C17526581.html","C17526581",""
"29","SW6","1","GL1807SYAE-002","TMR Analog Stick with button","GL18_SW","","","",""
"30","SW15,SW16","2","1TS026A-1000-0550","50mA 2.6mm 100MΩ 200,000 Times 12V 100gf 1.6mm 0.55mm Round Button Standing paste SPST SMD,1.6x2.6mm Tactile Switches ROHS","1TS026A-1000-0550","SMD,1.6x2.6mm ","https://www.lcsc.com/product-detail/Tactile-Switches_HYP-Hongyuan-Precision-1TS026A-1000-0550-CT_C913778.html","C913778",""
"31","SW5,SW9,SW14,SW17,SW18,SW19","6","TS-1187A-C-E-B","Single Pole Single Throw (SPST) switch","TS-1187A-C-A-B ","SMD","https://www.lcsc.com/product-detail/Tactile-Switches_XKB-Connection-TS-1187A-C-A-B_C480267.html","C480267",""
"32","SW7,SW8","2","TC-00100V H5.0 100gf","Custom right angle silicone tactile switch 5mm button height","SW_Push","-","-","-",""
