"#","Reference","Qty","MPN","Description","Value","Package","Link","LCSC","DNP"
"1","R13,R33,R34,R35,R41","5","RC0201FR-070RL ","50mW Thick Film Resistors 25V ±1% 0Ω","0R","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-070RL_C106227.html","C106227",""
"2","C28,C29","2","CC0402FRNPO9BN150","50V 15pF NP0 ±1%","15pF","0402","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402FRNPO9BN150_C326803.html","C326803",""
"3","C1,C2","2","CC0603JRX7R9BB473","50V 47nF X7R ±5%","47nF","0603","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0603JRX7R9BB473_C519554.html","C519554",""
"4","C5,C6,C7,C9,C10,C11,C12,C13,C24,C25,C32","11","CL03A104KQ3NNNC","6.3V 100nF X5R ±10%","100nF","0201","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL03A104KQ3NNNC_C160831.html","C160831",""
"5","C18","1","CC0402KRX7R5BB104","6.3V 100nF X7R ±10%","100nF","0402","","C541406",""
"6","C15","1","GRM033R60J474KE90D","CAP CER 470nF 6.3V X5R 0201","0.47uF","0201","https://www.lcsc.com/product-detail/C85926.html?s_z=n_C85926","C85926",""
"7","C8,C14,C16,C19,C26,C27,C33,C34","8","GRM033R60J105KEA2D","6.3V 1uF X5R ±10%","1uF","0201","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM033R60J105KEA2D_C76929.html,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL03A104KQ3NNNC_C160831.html","C76929",""
"8","C4,C17,C23","3","CL21A106KPFNNNE","10V 10uF X5R ±10%","10uF","0805","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A106KPFNNNE_C17024.html","C17024",""
"9","C3","1","TAJA476K006RNJ","47uF 6.3V 1.6Ω@100kHz ±10%","47uF","CASE-A-3216-18(mm)","https://www.lcsc.com/product-detail/Tantalum-Capacitors_Kyocera-AVX-TAJA476K006RNJ_C7190.html","C7190",""
"10","R6,R7","2","RC0201FR-0727RL ","50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 27Ω","27R","0201","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-0727RL_C273268.html","C273268",""
